DATE,open NVIDIA,high NVIDIA,low NVIDIA,close NVIDIA,volume NVIDIA,open GOOGLE,high GOOGLE,low GOOGLE,close GOOGLE,volume GOOGLE,date APPLE,open APPLE,high APPLE,low APPLE,close APPLE,volume APPLE
2022-05-20,"$17,30","$17,38","$15,73","$16,67","$73.789.663,00","$111,18","$111,42","$105,07","$108,16","$2.431.379,00",2022-05-20,"$136,74","$138,32","$130,37","$135,26","$135.102.771,00"
2022-05-23,"$16,25","$16,89","$16,15","$16,87","$63.884.355,00","$108,84","$111,38","$108,00","$110,72","$1.846.511,00",2022-05-23,"$135,46","$140,84","$135,32","$140,69","$115.736.034,00"
2022-05-24,"$16,48","$16,57","$15,75","$16,13","$58.758.818,00","$105,05","$105,73","$101,19","$105,24","$3.812.692,00",2022-05-24,"$138,43","$139,57","$135,01","$137,99","$102.372.252,00"
2022-05-25,"$15,99","$17,08","$15,97","$16,95","$77.985.728,00","$104,27","$105,77","$103,15","$105,08","$1.999.080,00",2022-05-25,"$136,09","$139,39","$136,00","$138,14","$90.919.208,00"
2022-05-26,"$16,01","$18,06","$16,00","$17,82","$99.494.428,00","$104,95","$107,91","$104,50","$107,05","$1.884.364,00",2022-05-26,"$135,07","$141,90","$134,82","$141,35","$89.069.819,00"
2022-05-27,"$18,16","$18,85","$18,07","$18,78","$73.717.432,00","$108,73","$111,55","$108,39","$111,55","$1.882.720,00",2022-05-27,"$142,93","$147,15","$142,80","$147,11","$89.440.426,00"
2022-05-31,"$18,95","$19,17","$18,32","$18,64","$66.301.474,00","$111,97","$114,94","$111,31","$112,98","$2.483.483,00",2022-05-31,"$146,55","$148,11","$144,36","$146,32","$101.964.999,00"
2022-06-01,"$18,69","$19,02","$18,09","$18,29","$54.362.521,00","$114,07","$116,30","$112,47","$113,11","$1.817.740,00",2022-06-01,"$147,37","$149,18","$145,18","$146,20","$73.030.756,00"
2022-06-02,"$18,26","$19,59","$18,17","$19,56","$64.759.631,00","$113,22","$117,09","$112,17","$116,82","$1.886.602,00",2022-06-02,"$145,33","$148,71","$144,38","$148,65","$71.125.010,00"
2022-06-03,"$19,05","$19,30","$18,49","$18,69","$59.779.989,00","$115,27","$115,53","$112,74","$113,76","$1.297.822,00",2022-06-03,"$144,42","$145,47","$142,02","$142,92","$87.072.988,00"
2022-06-06,"$19,11","$19,31","$18,53","$18,76","$42.171.591,00","$115,91","$118,53","$115,37","$116,02","$1.665.589,00",2022-06-06,"$144,54","$146,06","$142,45","$143,67","$70.387.978,00"
2022-06-07,"$18,44","$18,97","$18,16","$18,90","$38.827.909,00","$114,69","$116,89","$114,26","$116,35","$1.568.703,00",2022-06-07,"$141,91","$146,48","$141,66","$146,20","$66.661.876,00"
2022-06-08,"$18,77","$19,15","$18,51","$18,62","$36.273.625,00","$115,96","$117,76","$115,80","$116,39","$1.296.445,00",2022-06-08,"$146,07","$147,34","$144,97","$145,46","$53.038.122,00"
2022-06-09,"$18,45","$18,91","$18,02","$18,02","$39.501.050,00","$115,53","$117,49","$113,99","$114,05","$1.281.062,00",2022-06-09,"$144,59","$145,45","$140,12","$140,23","$68.298.524,00"
2022-06-10,"$17,57","$17,67","$16,84","$16,95","$46.498.580,00","$111,68","$112,50","$109,61","$110,40","$2.059.885,00",2022-06-10,"$137,91","$138,38","$134,74","$134,81","$89.892.064,00"
2022-06-13,"$15,98","$16,29","$15,58","$15,62","$60.329.236,00","$106,06","$108,05","$105,39","$105,66","$2.346.412,00",2022-06-13,"$130,62","$132,91","$129,22","$129,65","$120.141.125,00"
2022-06-14,"$15,71","$16,04","$15,39","$15,81","$46.901.220,00","$105,81","$107,19","$105,08","$105,98","$1.673.769,00",2022-06-14,"$130,88","$131,63","$129,26","$130,52","$83.350.963,00"
2022-06-15,"$16,07","$16,84","$15,90","$16,50","$56.313.379,00","$107,80","$110,66","$106,93","$109,01","$1.971.312,00",2022-06-15,"$132,02","$135,02","$129,93","$133,14","$89.985.597,00"
2022-06-16,"$15,84","$15,92","$15,38","$15,58","$54.497.215,00","$106,49","$107,90","$104,42","$105,31","$2.566.547,00",2022-06-16,"$129,85","$130,15","$126,86","$127,86","$106.295.953,00"
2022-06-17,"$15,63","$15,97","$15,31","$15,86","$62.943.694,00","$105,31","$107,96","$104,33","$106,41","$2.551.230,00",2022-06-17,"$127,87","$130,83","$127,62","$129,34","$132.246.154,00"
2022-06-21,"$16,45","$16,98","$16,38","$16,54","$48.240.065,00","$108,18","$111,72","$107,86","$110,78","$2.354.550,00",2022-06-21,"$131,16","$134,74","$131,07","$133,57","$79.631.116,00"
2022-06-22,"$16,20","$16,64","$16,16","$16,34","$43.737.358,00","$109,80","$112,57","$109,63","$110,72","$1.528.167,00",2022-06-22,"$132,51","$135,43","$131,65","$133,06","$72.168.159,00"
2022-06-23,"$16,50","$16,56","$15,83","$16,20","$46.301.945,00","$111,46","$111,97","$109,74","$111,47","$1.408.383,00",2022-06-23,"$134,51","$136,25","$133,34","$135,93","$71.209.283,00"
2022-06-24,"$16,48","$17,12","$16,29","$17,10","$47.148.011,00","$112,22","$117,27","$112,18","$117,17","$2.044.086,00",2022-06-24,"$137,54","$139,51","$137,41","$139,27","$87.610.194,00"
2022-06-27,"$17,29","$17,31","$16,60","$16,85","$42.735.904,00","$117,46","$117,77","$114,39","$115,04","$1.808.565,00",2022-06-27,"$140,29","$141,06","$138,59","$139,27","$69.020.967,00"
2022-06-28,"$16,88","$17,18","$15,92","$15,96","$46.120.340,00","$115,01","$116,51","$111,08","$111,24","$1.781.760,00",2022-06-28,"$139,73","$141,00","$135,00","$135,12","$65.949.318,00"
2022-06-29,"$15,79","$15,80","$15,15","$15,52","$48.166.641,00","$110,79","$112,39","$110,11","$110,94","$1.227.376,00",2022-06-29,"$135,14","$138,29","$134,36","$136,88","$65.122.517,00"
2022-06-30,"$15,34","$15,54","$14,84","$15,14","$68.509.241,00","$109,25","$110,13","$106,02","$108,22","$2.143.667,00",2022-06-30,"$134,93","$136,03","$131,51","$134,41","$97.291.470,00"
2022-07-01,"$14,88","$15,04","$14,37","$14,50","$57.678.675,00","$107,19","$108,50","$106,00","$107,99","$1.761.633,00",2022-07-01,"$133,74","$136,69","$133,37","$136,58","$69.850.428,00"
2022-07-05,"$14,15","$14,95","$14,04","$14,94","$65.127.929,00","$106,37","$112,60","$105,01","$112,49","$1.956.488,00",2022-07-05,"$135,44","$139,22","$134,62","$139,17","$72.113.688,00"
2022-07-06,"$14,99","$15,30","$14,77","$15,11","$52.831.412,00","$112,53","$114,80","$110,71","$113,79","$1.858.749,00",2022-07-06,"$138,96","$141,68","$138,70","$140,50","$72.812.172,00"
2022-07-07,"$15,43","$15,92","$15,37","$15,84","$49.220.035,00","$114,29","$118,37","$114,05","$117,97","$2.032.775,00",2022-07-07,"$140,87","$144,07","$140,86","$143,88","$65.133.657,00"
2022-07-08,"$15,41","$16,01","$15,37","$15,82","$46.730.698,00","$116,45","$118,87","$116,10","$118,54","$1.898.811,00",2022-07-08,"$142,80","$145,06","$142,55","$144,55","$63.456.580,00"
2022-07-11,"$15,50","$15,50","$15,02","$15,13","$43.776.376,00","$117,19","$117,19","$114,54","$114,88","$1.551.484,00",2022-07-11,"$143,21","$144,16","$141,35","$142,42","$62.074.160,00"
2022-07-12,"$15,25","$15,41","$14,86","$15,06","$45.782.953,00","$115,42","$116,17","$112,91","$113,24","$1.487.724,00",2022-07-12,"$143,30","$145,94","$142,60","$143,39","$76.277.089,00"
2022-07-13,"$14,57","$15,35","$14,44","$15,14","$52.117.488,00","$110,94","$113,41","$110,44","$110,59","$2.171.126,00",2022-07-13,"$140,57","$143,97","$139,72","$143,03","$69.982.163,00"
2022-07-14,"$15,09","$15,45","$14,71","$15,35","$45.558.481,00","$109,46","$110,33","$107,63","$109,61","$1.837.479,00",2022-07-14,"$141,64","$146,43","$140,83","$145,96","$76.819.671,00"
2022-07-15,"$15,64","$15,76","$15,42","$15,74","$38.538.704,00","$111,23","$112,37","$110,14","$111,01","$2.322.437,00",2022-07-15,"$147,25","$148,31","$145,70","$147,63","$74.970.688,00"
2022-07-18,"$16,28","$16,87","$15,98","$16,08","$66.956.383,00","$111,87","$112,90","$107,63","$108,28","$42.868.939,00",2022-07-18,"$148,19","$149,01","$144,22","$144,58","$80.044.434,00"
2022-07-19,"$16,46","$17,09","$16,15","$16,97","$70.136.577,00","$110,09","$113,24","$108,81","$113,03","$36.280.715,00",2022-07-19,"$145,42","$148,67","$144,43","$148,45","$81.579.503,00"
2022-07-20,"$16,92","$17,91","$16,78","$17,78","$75.945.716,00","$112,40","$114,61","$111,71","$113,12","$35.356.576,00",2022-07-20,"$148,57","$151,12","$147,83","$150,45","$63.727.536,00"
2022-07-21,"$17,86","$18,12","$17,52","$18,02","$55.625.615,00","$113,50","$113,77","$110,35","$113,56","$32.452.347,00",2022-07-21,"$151,89","$152,94","$149,37","$152,72","$63.986.266,00"
2022-07-22,"$17,87","$17,94","$17,11","$17,29","$53.590.860,00","$110,24","$111,57","$105,77","$107,16","$48.566.214,00",2022-07-22,"$152,76","$153,64","$150,82","$151,49","$65.548.205,00"
2022-07-25,"$16,99","$17,10","$16,63","$17,00","$48.006.414,00","$107,67","$109,12","$105,57","$106,77","$34.453.268,00",2022-07-25,"$151,41","$152,42","$149,71","$150,36","$52.717.360,00"
2022-07-26,"$16,87","$16,90","$16,45","$16,51","$39.729.935,00","$105,87","$106,47","$103,36","$104,30","$47.662.217,00",2022-07-26,"$149,69","$150,50","$148,25","$149,04","$54.206.543,00"
2022-07-27,"$17,01","$17,91","$16,89","$17,76","$56.896.590,00","$108,51","$113,13","$107,27","$112,29","$59.448.502,00",2022-07-27,"$150,00","$154,67","$149,59","$154,14","$77.291.584,00"
2022-07-28,"$17,95","$18,11","$17,42","$17,96","$47.397.067,00","$111,60","$113,56","$110,70","$113,44","$32.591.779,00",2022-07-28,"$154,33","$154,98","$151,80","$154,69","$80.002.942,00"
2022-07-29,"$17,79","$18,22","$17,67","$18,14","$43.484.183,00","$112,31","$115,91","$112,29","$115,52","$36.968.408,00",2022-07-29,"$158,51","$160,86","$156,80","$159,76","$100.066.150,00"
2022-08-01,"$18,16","$18,82","$17,96","$18,41","$47.579.203,00","$114,51","$115,92","$113,56","$114,07","$25.855.952,00",2022-08-01,"$158,29","$160,82","$158,17","$158,78","$66.682.713,00"
2022-08-02,"$18,10","$18,91","$18,07","$18,50","$48.882.929,00","$113,22","$115,55","$112,94","$114,34","$20.097.419,00",2022-08-02,"$157,39","$159,66","$156,93","$157,31","$58.894.223,00"
2022-08-03,"$18,16","$18,94","$18,11","$18,87","$41.755.023,00","$114,92","$117,81","$114,69","$117,27","$28.303.803,00",2022-08-03,"$158,12","$163,77","$158,03","$163,32","$81.112.675,00"
2022-08-04,"$18,82","$19,25","$18,73","$19,19","$40.907.028,00","$116,68","$117,97","$116,09","$117,38","$21.454.950,00",2022-08-04,"$163,20","$164,36","$161,65","$163,01","$54.536.283,00"
2022-08-05,"$18,78","$19,20","$18,64","$18,96","$38.551.937,00","$115,43","$117,30","$115,21","$116,67","$19.028.272,00",2022-08-05,"$160,67","$163,27","$160,47","$162,78","$55.815.908,00"
2022-08-08,"$17,48","$18,21","$17,22","$17,77","$98.238.434,00","$117,58","$119,33","$116,08","$116,50","$19.038.170,00",2022-08-08,"$163,79","$165,20","$161,65","$162,31","$59.340.190,00"
